ID,Lat,Lon
PAIS-A0117,-34.584288,-58.378041
PAIS-A0118,-34.584288,-58.378041
PAIS-A0119,-34.584288,-58.378041
PAIS-A0122,-34.650406,-58.440309
PAIS-A0123,-34.584288,-58.378041
PAIS-A0125,-34.584288,-58.378041
PAIS-A0126,-34.584288,-58.378041
PAIS-A0128,-34.584288,-58.378041
PAIS-A0129,-34.630738,-58.41939
PAIS-A0132,-34.584288,-58.378041
PAIS-A0133,-34.584288,-58.378041
PAIS-A0135,-34.584288,-58.378041
PAIS-A0136,-34.584288,-58.378041
PAIS-A0138,-34.584288,-58.378041
PAIS-A0140,-34.584288,-58.378041
PAIS-A0145,-34.584288,-58.378041
PAIS-A0149,-34.584288,-58.378041
PAIS-A0150,-34.598283,-58.442307
PAIS-A0151,-34.584288,-58.378041
PAIS-A0152,-34.584288,-58.378041
PAIS-A0153,-34.584288,-58.378041
PAIS-A0154,-34.584288,-58.378041
PAIS-A0155,-34.584288,-58.378041
PAIS-A0156,-34.584288,-58.378041
PAIS-A0158,-34.584288,-58.378041
PAIS-A0159,-34.584288,-58.378041
PAIS-A0160,-34.584288,-58.378041
PAIS-A0161,-34.59392,-58.379707
PAIS-A0163,-34.584288,-58.378041
PAIS-A0164,-34.630738,-58.41939
PAIS-A0165,-34.584288,-58.378041
PAIS-A0168,-34.615135,-58.447263
PAIS-A0169,-34.584288,-58.378041
PAIS-A0170,-34.584288,-58.378041
PAIS-A0171,-34.584288,-58.378041
PAIS-A0172,-34.584288,-58.378041
PAIS-A0178,-34.584288,-58.378041
PAIS-A0180,-34.637127,-58.461219
PAIS-A0181,-34.584288,-58.378041
PAIS-A0183,-34.584288,-58.378041
PAIS-A0184,-34.578944,-58.42608
PAIS-A0185,-34.588925,-58.398231
PAIS-A0186,-34.584288,-58.378041
PAIS-A0187,-34.584288,-58.378041
PAIS-A0188,-34.584288,-58.378041
PAIS-A0189,-34.584288,-58.378041
PAIS-A0192,-34.584288,-58.378041
PAIS-A0193,-34.561729,-58.45675
PAIS-A0195,-34.584288,-58.378041
PAIS-A0196,-34.584288,-58.378041
PAIS-A0197,-34.584288,-58.378041
PAIS-A0199,-34.584288,-58.378041
PAIS-A0200,-34.584288,-58.378041
PAIS-A0203,-34.584288,-58.378041
PAIS-A0204,-34.584288,-58.378041
PAIS-A0207,-34.162339,-58.963248
PAIS-A0216,-34.615135,-58.447263
PAIS-A0217,-34.762162,-58.208179
PAIS-A0224,-34.608174,-58.447377
PAIS-A0226,-34.801292,-58.342933
PAIS-A0227,-34.7775,-58.237985
PAIS-A0229,-34.762488,-58.423791
PAIS-A0235,-34.861026,-58.392605
PAIS-A0242,-34.590916,-58.590556
PAIS-A0257,-34.86476,-58.589356
PAIS-A0260,-34.804545,-58.556504
PAIS-A0263,-34.584288,-58.378041
PAIS-A0265,-34.728823,-58.354788
PAIS-A0269,-34.804545,-58.556504
PAIS-A0272,-34.816506,-58.469634
PAIS-A0273,-38.56416,-58.733961
PAIS-A0274,-38.56416,-58.733961
PAIS-A0276,-38.56416,-58.733961
PAIS-A0278,-36.895422,-60.314228
PAIS-A0280,-36.895422,-60.314228
PAIS-A0281,-36.895422,-60.314228
PAIS-A0282,-36.895422,-60.314228
PAIS-A0286,-34.92888,-58.388632
PAIS-A0287,-34.704148,-58.320881
PAIS-A0288,-34.905894,-57.924396
PAIS-A0289,-34.851371,-57.933934
PAIS-A0296,-35.018702,-58.04968
PAIS-A0297,-34.52494,-58.583919
PAIS-A0298,-34.575776,-58.538093
PAIS-A0300,-34.568419,-58.601981
PAIS-A0304,-34.762488,-58.423791
PAIS-A0311,-34.746391,-58.233585
PAIS-A0318,-34.797994,-58.430384
PAIS-A0322,-34.704148,-58.320881
PAIS-A0326,-34.704148,-58.320881
PAIS-B0002,-34.627995,-58.483894
PAIS-B0004,-34.608578,-58.422117
PAIS-B0005,-34.603301,-58.375197
PAIS-C0011,-34.651346,-58.558665
PAIS-C0013,-34.635274,-58.797534
PAIS-C0014,-34.604064,-58.947601
PAIS-C0018,-34.590989,-58.633166
PAIS-C0019,-34.595475,-58.754579
PAIS-C0020,-34.635274,-58.797534
PAIS-C0021,-34.621214,-58.638574
PAIS-C0022,-34.635274,-58.797534
PAIS-D0028,-54.806623,-68.300057
PAIS-G0014,-31.415242,-64.197766
PAIS-A0004,-34.608174,-58.447377
PAIS-A0007,-34.608174,-58.447377
PAIS-A0008,-34.608174,-58.447377
PAIS-A0009,-34.608174,-58.447377
PAIS-A0012,-34.608174,-58.447377
PAIS-A0015,-38.725189,-62.263362
PAIS-A0031,-34.634569,-58.363219
PAIS-A0033,-34.647965,-58.476885
PAIS-A0036,-34.634569,-58.363219
PAIS-A0239,-34.463922,-58.535472
PAIS-A0240,-33.24,-64.78
PAIS-A0247,-34.525398,-58.476952
PAIS-A0249,-34.507408,-58.565048
PAIS-A0250,-34.526575,-58.522636
PAIS-A0251,-34.641949,-58.831085
PAIS-A0252,-34.463922,-58.535472
PAIS-A0266,-34.760853,-58.487153
PAIS-C0005,-34.659299,-58.617761
PAIS-D0038,-40.145217,-71.30785
PAIS-D0041,-38.955936,-68.063715
PAIS-D0049,-38.947533,-68.228818
PAIS-G0001,-31.274716,-64.337547
PAIS-G0003,-31.415242,-64.197766
PAIS-G0017,-31.274716,-64.337547
PAIS-G0018,-31.274716,-64.337547
PAIS-G0019,-31.274716,-64.337547
PAIS-D0021,-54.806623,-68.300057
PAIS-D0039,-38.955936,-68.063715
PAIS-A0222,-34.608174,-58.447377
PAIS-B0003,-34.612346,-58.3799
